Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked,Location 1
2002,Kentucky,0.29,0.04,0.22,0.46,"Kentucky
(37.645969999815804, -84.77496999996538)"
2003,Kentucky,0.27,0.04,0.23,0.47,"Kentucky
(37.645969999815804, -84.77496999996538)"
2004,Kentucky,0.23,0.05,0.20,0.52,"Kentucky
(37.645969999815804, -84.77496999996538)"
2005,Kentucky,0.24,0.05,0.24,0.47,"Kentucky
(37.645969999815804, -84.77496999996538)"
2006,Kentucky,0.24,0.04,0.24,0.47,"Kentucky
(37.645969999815804, -84.77496999996538)"
2007,Kentucky,0.24,0.05,0.24,0.48,"Kentucky
(37.645969999815804, -84.77496999996538)"
2008,Kentucky,0.21,0.05,0.25,0.50,"Kentucky
(37.645969999815804, -84.77496999996538)"
2009,Kentucky,0.21,0.05,0.25,0.49,"Kentucky
(37.645969999815804, -84.77496999996538)"
2010,Kentucky,0.19,0.06,0.26,0.49,"Kentucky
(37.645969999815804, -84.77496999996538)"
1995,Louisiana,0.21,0.04,0.22,0.53,"Louisiana
(31.31265999975932, -92.44567999993188)"
1996,Louisiana,0.22,0.04,0.22,0.53,"Louisiana
(31.31265999975932, -92.44567999993188)"
1997,Louisiana,0.19,0.05,0.22,0.54,"Louisiana
(31.31265999975932, -92.44567999993188)"
1998,Louisiana,0.21,0.05,0.20,0.55,"Louisiana
(31.31265999975932, -92.44567999993188)"
1999,Louisiana,0.19,0.05,0.21,0.56,"Louisiana
(31.31265999975932, -92.44567999993188)"
2000,Louisiana,0.19,0.06,0.20,0.57,"Louisiana
(31.31265999975932, -92.44567999993188)"
2001,Louisiana,0.19,0.06,0.20,0.55,"Louisiana
(31.31265999975932, -92.44567999993188)"
2002,Louisiana,0.19,0.05,0.19,0.57,"Louisiana
(31.31265999975932, -92.44567999993188)"
2003,Louisiana,0.20,0.06,0.21,0.53,"Louisiana
(31.31265999975932, -92.44567999993188)"
2004,Louisiana,0.17,0.07,0.20,0.57,"Louisiana
(31.31265999975932, -92.44567999993188)"
2005,Louisiana,0.16,0.06,0.21,0.57,"Louisiana
(31.31265999975932, -92.44567999993188)"
2006,Louisiana,0.18,0.06,0.20,0.56,"Louisiana
(31.31265999975932, -92.44567999993188)"
2007,Louisiana,0.17,0.06,0.20,0.57,"Louisiana
(31.31265999975932, -92.44567999993188)"
2008,Louisiana,0.16,0.05,0.20,0.60,"Louisiana
(31.31265999975932, -92.44567999993188)"
2009,Louisiana,0.16,0.06,0.23,0.55,"Louisiana
(31.31265999975932, -92.44567999993188)"
2010,Louisiana,0.16,0.06,0.22,0.56,"Louisiana
(31.31265999975932, -92.44567999993188)"
1995,Maine,0.22,0.03,0.27,0.48,"Maine
(45.25423000041434, -68.9850299999344)"
1996,Maine,0.23,0.03,0.28,0.47,"Maine
(45.25423000041434, -68.9850299999344)"
1997,Maine,0.20,0.03,0.31,0.46,"Maine
(45.25423000041434, -68.9850299999344)"
1998,Maine,0.19,0.03,0.31,0.46,"Maine
(45.25423000041434, -68.9850299999344)"
1999,Maine,0.20,0.04,0.30,0.47,"Maine
(45.25423000041434, -68.9850299999344)"
2000,Maine,0.21,0.03,0.30,0.46,"Maine
(45.25423000041434, -68.9850299999344)"
2001,Maine,0.18,0.06,0.32,0.44,"Maine
(45.25423000041434, -68.9850299999344)"
2002,Maine,0.20,0.04,0.33,0.43,"Maine
(45.25423000041434, -68.9850299999344)"
2003,Maine,0.20,0.04,0.31,0.45,"Maine
(45.25423000041434, -68.9850299999344)"
2004,Maine,0.17,0.04,0.31,0.48,"Maine
(45.25423000041434, -68.9850299999344)"
2005,Maine,0.16,0.05,0.30,0.49,"Maine
(45.25423000041434, -68.9850299999344)"
2006,Maine,0.16,0.05,0.30,0.49,"Maine
(45.25423000041434, -68.9850299999344)"
2007,Maine,0.16,0.04,0.31,0.49,"Maine
(45.25423000041434, -68.9850299999344)"
2008,Maine,0.14,0.04,0.32,0.50,"Maine
(45.25423000041434, -68.9850299999344)"
2009,Maine,0.13,0.05,0.31,0.52,"Maine
(45.25423000041434, -68.9850299999344)"
2010,Maine,0.14,0.04,0.30,0.52,"Maine
(45.25423000041434, -68.9850299999344)"
1995,Maryland,0.18,0.03,0.21,0.58,"Maryland
(39.29057999976732, -76.6092600004485)"
1996,Maryland,0.18,0.03,0.23,0.56,"Maryland
(39.29057999976732, -76.6092600004485)"
1997,Maryland,0.18,0.03,0.23,0.57,"Maryland
(39.29057999976732, -76.6092600004485)"
1998,Maryland,0.17,0.06,0.24,0.53,"Maryland
(39.29057999976732, -76.6092600004485)"
1999,Maryland,0.16,0.05,0.24,0.56,"Maryland
(39.29057999976732, -76.6092600004485)"
2000,Maryland,0.15,0.05,0.24,0.56,"Maryland
(39.29057999976732, -76.6092600004485)"
2001,Maryland,0.15,0.06,0.25,0.54,"Maryland
(39.29057999976732, -76.6092600004485)"
2002,Maryland,0.16,0.06,0.24,0.54,"Maryland
(39.29057999976732, -76.6092600004485)"
2003,Maryland,0.15,0.05,0.24,0.56,"Maryland
(39.29057999976732, -76.6092600004485)"
2004,Maryland,0.15,0.05,0.23,0.58,"Maryland
(39.29057999976732, -76.6092600004485)"
2005,Maryland,0.13,0.06,0.23,0.58,"Maryland
(39.29057999976732, -76.6092600004485)"
2006,Maryland,0.13,0.05,0.23,0.60,"Maryland
(39.29057999976732, -76.6092600004485)"
2007,Maryland,0.12,0.06,0.24,0.59,"Maryland
(39.29057999976732, -76.6092600004485)"
2008,Maryland,0.11,0.04,0.24,0.61,"Maryland
(39.29057999976732, -76.6092600004485)"
2009,Maryland,0.10,0.05,0.23,0.62,"Maryland
(39.29057999976732, -76.6092600004485)"
2010,Maryland,0.11,0.05,0.24,0.61,"Maryland
(39.29057999976732, -76.6092600004485)"
1995,Massachusetts,0.19,0.03,0.30,0.48,"Massachusetts
(42.27687000005062, -72.08269000004333)"
1996,Massachusetts,0.18,0.05,0.30,0.46,"Massachusetts
(42.27687000005062, -72.08269000004333)"
1997,Massachusetts,0.16,0.04,0.30,0.50,"Massachusetts
(42.27687000005062, -72.08269000004333)"
1998,Massachusetts,0.17,0.04,0.28,0.51,"Massachusetts
(42.27687000005062, -72.08269000004333)"
1999,Massachusetts,0.15,0.04,0.26,0.55,"Massachusetts
(42.27687000005062, -72.08269000004333)"
2000,Massachusetts,0.15,0.05,0.28,0.52,"Massachusetts
(42.27687000005062, -72.08269000004333)"
2001,Massachusetts,0.15,0.05,0.30,0.51,"Massachusetts
(42.27687000005062, -72.08269000004333)"
2002,Massachusetts,0.14,0.05,0.29,0.52,"Massachusetts
(42.27687000005062, -72.08269000004333)"
2003,Massachusetts,0.15,0.05,0.31,0.50,"Massachusetts
(42.27687000005062, -72.08269000004333)"
2004,Massachusetts,0.14,0.05,0.27,0.55,"Massachusetts
(42.27687000005062, -72.08269000004333)"
2005,Massachusetts,0.14,0.05,0.28,0.55,"Massachusetts
(42.27687000005062, -72.08269000004333)"
2006,Massachusetts,0.13,0.05,0.28,0.55,"Massachusetts
(42.27687000005062, -72.08269000004333)"
2007,Massachusetts,0.12,0.04,0.29,0.55,"Massachusetts
(42.27687000005062, -72.08269000004333)"
2008,Massachusetts,0.12,0.04,0.28,0.56,"Massachusetts
(42.27687000005062, -72.08269000004333)"
2009,Massachusetts,0.11,0.04,0.29,0.57,"Massachusetts
(42.27687000005062, -72.08269000004333)"
2010,Massachusetts,0.10,0.04,0.29,0.57,"Massachusetts
(42.27687000005062, -72.08269000004333)"
1995,Michigan,0.22,0.04,0.28,0.46,"Michigan
(44.661320000317914, -84.71438999959867)"
1996,Michigan,0.21,0.05,0.26,0.49,"Michigan
(44.661320000317914, -84.71438999959867)"
1997,Michigan,0.21,0.05,0.25,0.49,"Michigan
(44.661320000317914, -84.71438999959867)"
1998,Michigan,0.23,0.05,0.25,0.47,"Michigan
(44.661320000317914, -84.71438999959867)"
1999,Michigan,0.20,0.06,0.24,0.51,"Michigan
(44.661320000317914, -84.71438999959867)"
2000,Michigan,0.19,0.05,0.25,0.50,"Michigan
(44.661320000317914, -84.71438999959867)"
2001,Michigan,0.20,0.06,0.26,0.49,"Michigan
(44.661320000317914, -84.71438999959867)"
2002,Michigan,0.19,0.05,0.27,0.49,"Michigan
(44.661320000317914, -84.71438999959867)"
2003,Michigan,0.21,0.05,0.26,0.48,"Michigan
(44.661320000317914, -84.71438999959867)"
2004,Michigan,0.17,0.06,0.25,0.52,"Michigan
(44.661320000317914, -84.71438999959867)"
2005,Michigan,0.17,0.05,0.26,0.52,"Michigan
(44.661320000317914, -84.71438999959867)"
2006,Michigan,0.17,0.06,0.25,0.52,"Michigan
(44.661320000317914, -84.71438999959867)"
2007,Michigan,0.16,0.05,0.25,0.54,"Michigan
(44.661320000317914, -84.71438999959867)"
2008,Michigan,0.15,0.06,0.26,0.54,"Michigan
(44.661320000317914, -84.71438999959867)"
2009,Michigan,0.14,0.06,0.26,0.55,"Michigan
(44.661320000317914, -84.71438999959867)"
2010,Michigan,0.14,0.05,0.25,0.56,"Michigan
(44.661320000317914, -84.71438999959867)"
1995,Minnesota,0.17,0.03,0.24,0.56,"Minnesota
(46.3556499998478, -94.79419999982997)"
1996,Minnesota,0.16,0.05,0.23,0.56,"Minnesota
(46.3556499998478, -94.79419999982997)"
1997,Minnesota,0.17,0.05,0.22,0.56,"Minnesota
(46.3556499998478, -94.79419999982997)"
1998,Minnesota,0.13,0.05,0.19,0.63,"Minnesota
(46.3556499998478, -94.79419999982997)"
1999,Minnesota,0.15,0.04,0.20,0.61,"Minnesota
(46.3556499998478, -94.79419999982997)"
2000,Minnesota,0.15,0.05,0.23,0.57,"Minnesota
(46.3556499998478, -94.79419999982997)"
2001,Minnesota,0.17,0.05,0.28,0.50,"Minnesota
(46.3556499998478, -94.79419999982997)"
2002,Minnesota,0.16,0.06,0.27,0.51,"Minnesota
(46.3556499998478, -94.79419999982997)"
2003,Minnesota,0.16,0.05,0.28,0.51,"Minnesota
(46.3556499998478, -94.79419999982997)"
2004,Minnesota,0.15,0.06,0.27,0.53,"Minnesota
(46.3556499998478, -94.79419999982997)"
2005,Minnesota,0.15,0.05,0.29,0.51,"Minnesota
(46.3556499998478, -94.79419999982997)"
2006,Minnesota,0.14,0.05,0.28,0.54,"Minnesota
(46.3556499998478, -94.79419999982997)"
2007,Minnesota,0.12,0.04,0.28,0.56,"Minnesota
(46.3556499998478, -94.79419999982997)"
2008,Minnesota,0.12,0.06,0.27,0.55,"Minnesota
(46.3556499998478, -94.79419999982997)"
2009,Minnesota,0.11,0.06,0.26,0.57,"Minnesota
(46.3556499998478, -94.79419999982997)"
2010,Minnesota,0.11,0.04,0.26,0.59,"Minnesota
(46.3556499998478, -94.79419999982997)"
1995,Mississippi,0.21,0.03,0.21,0.56,"Mississippi
(32.7455100000866, -89.53803000008429)"
1996,Mississippi,0.20,0.04,0.21,0.56,"Mississippi
(32.7455100000866, -89.53803000008429)"
1997,Mississippi,0.19,0.04,0.21,0.56,"Mississippi
(32.7455100000866, -89.53803000008429)"
1998,Mississippi,0.19,0.05,0.22,0.54,"Mississippi
(32.7455100000866, -89.53803000008429)"
1999,Mississippi,0.19,0.04,0.20,0.57,"Mississippi
(32.7455100000866, -89.53803000008429)"
2000,Mississippi,0.19,0.05,0.21,0.56,"Mississippi
(32.7455100000866, -89.53803000008429)"
2001,Mississippi,0.20,0.06,0.21,0.54,"Mississippi
(32.7455100000866, -89.53803000008429)"
2002,Mississippi,0.21,0.06,0.20,0.53,"Mississippi
(32.7455100000866, -89.53803000008429)"
2003,Mississippi,0.20,0.06,0.21,0.54,"Mississippi
(32.7455100000866, -89.53803000008429)"
2004,Mississippi,0.18,0.07,0.19,0.56,"Mississippi
(32.7455100000866, -89.53803000008429)"
2005,Mississippi,0.19,0.05,0.21,0.56,"Mississippi
(32.7455100000866, -89.53803000008429)"
2006,Mississippi,0.18,0.07,0.21,0.54,"Mississippi
(32.7455100000866, -89.53803000008429)"
2007,Mississippi,0.19,0.05,0.21,0.55,"Mississippi
(32.7455100000866, -89.53803000008429)"
2008,Mississippi,0.17,0.06,0.22,0.55,"Mississippi
(32.7455100000866, -89.53803000008429)"
2009,Mississippi,0.17,0.06,0.22,0.55,"Mississippi
(32.7455100000866, -89.53803000008429)"
2010,Mississippi,0.17,0.06,0.22,0.55,"Mississippi
(32.7455100000866, -89.53803000008429)"
1995,Missouri,0.22,0.02,0.27,0.49,"Missouri
(38.63578999960896, -92.5663000000448)"
1996,Missouri,0.23,0.05,0.25,0.48,"Missouri
(38.63578999960896, -92.5663000000448)"
1997,Missouri,0.25,0.04,0.22,0.50,"Missouri
(38.63578999960896, -92.5663000000448)"
1998,Missouri,0.22,0.04,0.24,0.50,"Missouri
(38.63578999960896, -92.5663000000448)"
1999,Missouri,0.23,0.04,0.25,0.48,"Missouri
(38.63578999960896, -92.5663000000448)"
2000,Missouri,0.23,0.05,0.25,0.48,"Missouri
(38.63578999960896, -92.5663000000448)"
2001,Missouri,0.20,0.06,0.25,0.50,"Missouri
(38.63578999960896, -92.5663000000448)"
2002,Missouri,0.22,0.05,0.26,0.48,"Missouri
(38.63578999960896, -92.5663000000448)"
2003,Missouri,0.23,0.04,0.24,0.49,"Missouri
(38.63578999960896, -92.5663000000448)"
2004,Missouri,0.19,0.06,0.24,0.52,"Missouri
(38.63578999960896, -92.5663000000448)"
2005,Missouri,0.19,0.05,0.24,0.52,"Missouri
(38.63578999960896, -92.5663000000448)"
2006,Missouri,0.19,0.05,0.27,0.50,"Missouri
(38.63578999960896, -92.5663000000448)"
2007,Missouri,0.20,0.05,0.23,0.52,"Missouri
(38.63578999960896, -92.5663000000448)"
2008,Missouri,0.20,0.05,0.25,0.50,"Missouri
(38.63578999960896, -92.5663000000448)"
2009,Missouri,0.18,0.05,0.25,0.52,"Missouri
(38.63578999960896, -92.5663000000448)"
2010,Missouri,0.17,0.04,0.26,0.53,"Missouri
(38.63578999960896, -92.5663000000448)"
1995,Montana,0.19,0.02,0.29,0.50,"Montana
(47.06653000015956, -109.42441999998289)"
1996,Montana,0.19,0.03,0.27,0.51,"Montana
(47.06653000015956, -109.42441999998289)"
1997,Montana,0.18,0.03,0.27,0.53,"Montana
(47.06653000015956, -109.42441999998289)"
1998,Montana,0.19,0.03,0.27,0.52,"Montana
(47.06653000015956, -109.42441999998289)"
1999,Montana,0.16,0.04,0.28,0.52,"Montana
(47.06653000015956, -109.42441999998289)"
2000,Montana,0.16,0.03,0.30,0.51,"Montana
(47.06653000015956, -109.42441999998289)"
2001,Montana,0.17,0.05,0.27,0.51,"Montana
(47.06653000015956, -109.42441999998289)"
2002,Montana,0.16,0.06,0.26,0.53,"Montana
(47.06653000015956, -109.42441999998289)"
2003,Montana,0.15,0.05,0.28,0.52,"Montana
(47.06653000015956, -109.42441999998289)"
2004,Montana,0.16,0.05,0.25,0.55,"Montana
(47.06653000015956, -109.42441999998289)"
2005,Montana,0.15,0.05,0.29,0.52,"Montana
(47.06653000015956, -109.42441999998289)"
2006,Montana,0.13,0.06,0.27,0.54,"Montana
(47.06653000015956, -109.42441999998289)"
2007,Montana,0.15,0.05,0.27,0.54,"Montana
(47.06653000015956, -109.42441999998289)"
2008,Montana,0.14,0.05,0.27,0.55,"Montana
(47.06653000015956, -109.42441999998289)"
2009,Montana,0.12,0.05,0.26,0.57,"Montana
(47.06653000015956, -109.42441999998289)"
2010,Montana,0.14,0.05,0.27,0.54,"Montana
(47.06653000015956, -109.42441999998289)"
1995,Nebraska,0.19,0.02,0.26,0.53,"Nebraska
(41.6410400000961, -99.36572999973953)"
1996,Nebraska,0.20,0.03,0.24,0.54,"Nebraska
(41.6410400000961, -99.36572999973953)"
1997,Nebraska,0.19,0.04,0.23,0.55,"Nebraska
(41.6410400000961, -99.36572999973953)"
1998,Nebraska,0.17,0.05,0.24,0.54,"Nebraska
(41.6410400000961, -99.36572999973953)"
1999,Nebraska,0.18,0.05,0.22,0.55,"Nebraska
(41.6410400000961, -99.36572999973953)"
2000,Nebraska,0.17,0.05,0.24,0.55,"Nebraska
(41.6410400000961, -99.36572999973953)"
2001,Nebraska,0.16,0.04,0.22,0.57,"Nebraska
(41.6410400000961, -99.36572999973953)"
2002,Nebraska,0.18,0.05,0.23,0.54,"Nebraska
(41.6410400000961, -99.36572999973953)"
2003,Nebraska,0.16,0.05,0.24,0.55,"Nebraska
(41.6410400000961, -99.36572999973953)"
2004,Nebraska,0.15,0.05,0.21,0.59,"Nebraska
(41.6410400000961, -99.36572999973953)"
2005,Nebraska,0.16,0.05,0.23,0.56,"Nebraska
(41.6410400000961, -99.36572999973953)"
2006,Nebraska,0.14,0.05,0.24,0.58,"Nebraska
(41.6410400000961, -99.36572999973953)"
2007,Nebraska,0.15,0.06,0.24,0.56,"Nebraska
(41.6410400000961, -99.36572999973953)"
2008,Nebraska,0.13,0.05,0.25,0.57,"Nebraska
(41.6410400000961, -99.36572999973953)"
2009,Nebraska,0.13,0.04,0.25,0.59,"Nebraska
(41.6410400000961, -99.36572999973953)"
2010,Nebraska,0.13,0.05,0.25,0.58,"Nebraska
(41.6410400000961, -99.36572999973953)"
1995,Nevada,0.23,0.03,0.27,0.47,"Nevada
(39.49323999972637, -117.07183999971608)"
1996,Nevada,0.25,0.03,0.27,0.45,"Nevada
(39.49323999972637, -117.07183999971608)"
1997,Nevada,0.23,0.05,0.25,0.47,"Nevada
(39.49323999972637, -117.07183999971608)"
1998,Nevada,0.24,0.07,0.24,0.46,"Nevada
(39.49323999972637, -117.07183999971608)"
1999,Nevada,0.24,0.07,0.29,0.40,"Nevada
(39.49323999972637, -117.07183999971608)"
2000,Nevada,0.22,0.07,0.27,0.44,"Nevada
(39.49323999972637, -117.07183999971608)"
2001,Nevada,0.21,0.06,0.26,0.47,"Nevada
(39.49323999972637, -117.07183999971608)"
2002,Nevada,0.21,0.05,0.25,0.49,"Nevada
(39.49323999972637, -117.07183999971608)"
2003,Nevada,0.20,0.05,0.25,0.50,"Nevada
(39.49323999972637, -117.07183999971608)"
2004,Nevada,0.17,0.07,0.24,0.52,"Nevada
(39.49323999972637, -117.07183999971608)"
2005,Nevada,0.17,0.07,0.24,0.53,"Nevada
(39.49323999972637, -117.07183999971608)"
2006,Nevada,0.16,0.07,0.26,0.52,"Nevada
(39.49323999972637, -117.07183999971608)"
2007,Nevada,0.16,0.05,0.25,0.53,"Nevada
(39.49323999972637, -117.07183999971608)"
2008,Nevada,0.16,0.06,0.25,0.53,"Nevada
(39.49323999972637, -117.07183999971608)"
2009,Nevada,0.16,0.06,0.27,0.51,"Nevada
(39.49323999972637, -117.07183999971608)"
2010,Nevada,0.17,0.05,0.26,0.53,"Nevada
(39.49323999972637, -117.07183999971608)"
1995,New Hampshire,0.19,0.02,0.33,0.46,"New Hampshire
(43.65595000019255, -71.50036000041354)"
1996,New Hampshire,0.21,0.04,0.29,0.46,"New Hampshire
(43.65595000019255, -71.50036000041354)"
1997,New Hampshire,0.20,0.05,0.31,0.44,"New Hampshire
(43.65595000019255, -71.50036000041354)"
1998,New Hampshire,0.18,0.05,0.29,0.48,"New Hampshire
(43.65595000019255, -71.50036000041354)"
1999,New Hampshire,0.18,0.04,0.29,0.49,"New Hampshire
(43.65595000019255, -71.50036000041354)"
2000,New Hampshire,0.20,0.06,0.30,0.45,"New Hampshire
(43.65595000019255, -71.50036000041354)"
2001,New Hampshire,0.19,0.05,0.29,0.47,"New Hampshire
(43.65595000019255, -71.50036000041354)"
2002,New Hampshire,0.19,0.05,0.30,0.47,"New Hampshire
(43.65595000019255, -71.50036000041354)"
2003,New Hampshire,0.17,0.04,0.31,0.48,"New Hampshire
(43.65595000019255, -71.50036000041354)"
2004,New Hampshire,0.17,0.05,0.29,0.50,"New Hampshire
(43.65595000019255, -71.50036000041354)"
2005,New Hampshire,0.15,0.05,0.30,0.50,"New Hampshire
(43.65595000019255, -71.50036000041354)"
2006,New Hampshire,0.14,0.04,0.30,0.52,"New Hampshire
(43.65595000019255, -71.50036000041354)"
2007,New Hampshire,0.15,0.04,0.30,0.50,"New Hampshire
(43.65595000019255, -71.50036000041354)"
2008,New Hampshire,0.13,0.04,0.31,0.52,"New Hampshire
(43.65595000019255, -71.50036000041354)"
2009,New Hampshire,0.11,0.05,0.29,0.55,"New Hampshire
(43.65595000019255, -71.50036000041354)"
2010,New Hampshire,0.12,0.05,0.31,0.52,"New Hampshire
(43.65595000019255, -71.50036000041354)"
1995,New Jersey,0.15,0.04,0.25,0.56,"New Jersey
(40.13056999960594, -74.2736899996936)"
1996,New Jersey,0.18,0.05,0.25,0.53,"New Jersey
(40.13056999960594, -74.2736899996936)"
1997,New Jersey,0.17,0.05,0.26,0.52,"New Jersey
(40.13056999960594, -74.2736899996936)"
1998,New Jersey,0.15,0.04,0.26,0.55,"New Jersey
(40.13056999960594, -74.2736899996936)"
1999,New Jersey,0.15,0.06,0.21,0.58,"New Jersey
(40.13056999960594, -74.2736899996936)"
2000,New Jersey,0.15,0.06,0.22,0.57,"New Jersey
(40.13056999960594, -74.2736899996936)"
2001,New Jersey,0.15,0.06,0.26,0.53,"New Jersey
(40.13056999960594, -74.2736899996936)"
2002,New Jersey,0.14,0.05,0.26,0.55,"New Jersey
(40.13056999960594, -74.2736899996936)"
2003,New Jersey,0.14,0.05,0.26,0.54,"New Jersey
(40.13056999960594, -74.2736899996936)"
2004,New Jersey,0.13,0.06,0.24,0.57,"New Jersey
(40.13056999960594, -74.2736899996936)"
2005,New Jersey,0.13,0.05,0.26,0.57,"New Jersey
(40.13056999960594, -74.2736899996936)"
2006,New Jersey,0.12,0.06,0.24,0.58,"New Jersey
(40.13056999960594, -74.2736899996936)"
2007,New Jersey,0.12,0.05,0.25,0.58,"New Jersey
(40.13056999960594, -74.2736899996936)"
2008,New Jersey,0.11,0.04,0.24,0.61,"New Jersey
(40.13056999960594, -74.2736899996936)"
2009,New Jersey,0.10,0.06,0.25,0.59,"New Jersey
(40.13056999960594, -74.2736899996936)"
2010,New Jersey,0.10,0.04,0.26,0.59,"New Jersey
(40.13056999960594, -74.2736899996936)"
1995,New Mexico,0.18,0.03,0.28,0.52,"New Mexico
(34.52088000011207, -106.24057999976702)"
1996,New Mexico,0.17,0.06,0.24,0.53,"New Mexico
(34.52088000011207, -106.24057999976702)"
1997,New Mexico,0.16,0.07,0.25,0.53,"New Mexico
(34.52088000011207, -106.24057999976702)"
1998,New Mexico,0.16,0.06,0.24,0.53,"New Mexico
(34.52088000011207, -106.24057999976702)"
1999,New Mexico,0.16,0.06,0.25,0.53,"New Mexico
(34.52088000011207, -106.24057999976702)"
2000,New Mexico,0.17,0.07,0.26,0.51,"New Mexico
(34.52088000011207, -106.24057999976702)"
2001,New Mexico,0.16,0.08,0.25,0.51,"New Mexico
(34.52088000011207, -106.24057999976702)"
2002,New Mexico,0.15,0.06,0.26,0.53,"New Mexico
(34.52088000011207, -106.24057999976702)"
2003,New Mexico,0.16,0.06,0.26,0.52,"New Mexico
(34.52088000011207, -106.24057999976702)"
2004,New Mexico,0.13,0.07,0.24,0.56,"New Mexico
(34.52088000011207, -106.24057999976702)"
2005,New Mexico,0.15,0.07,0.24,0.54,"New Mexico
(34.52088000011207, -106.24057999976702)"
2006,New Mexico,0.14,0.06,0.25,0.55,"New Mexico
(34.52088000011207, -106.24057999976702)"
2007,New Mexico,0.13,0.08,0.25,0.54,"New Mexico
(34.52088000011207, -106.24057999976702)"
2008,New Mexico,0.13,0.07,0.25,0.56,"New Mexico
(34.52088000011207, -106.24057999976702)"
2009,New Mexico,0.11,0.07,0.26,0.56,"New Mexico
(34.52088000011207, -106.24057999976702)"
2010,New Mexico,0.11,0.07,0.25,0.57,"New Mexico
(34.52088000011207, -106.24057999976702)"
1995,New York,0.19,0.02,0.25,0.53,"New York
(42.82699999955048, -75.54396999981549)"
1996,New York,0.19,0.04,0.24,0.53,"New York
(42.82699999955048, -75.54396999981549)"
1997,New York,0.19,0.04,0.24,0.53,"New York
(42.82699999955048, -75.54396999981549)"
1998,New York,0.18,0.06,0.24,0.52,"New York
(42.82699999955048, -75.54396999981549)"
1999,New York,0.17,0.05,0.23,0.55,"New York
(42.82699999955048, -75.54396999981549)"
2000,New York,0.16,0.06,0.26,0.53,"New York
(42.82699999955048, -75.54396999981549)"
2001,New York,0.17,0.07,0.24,0.53,"New York
(42.82699999955048, -75.54396999981549)"
2002,New York,0.17,0.05,0.25,0.53,"New York
(42.82699999955048, -75.54396999981549)"
2003,New York,0.17,0.05,0.25,0.53,"New York
(42.82699999955048, -75.54396999981549)"
2004,New York,0.14,0.06,0.24,0.56,"New York
(42.82699999955048, -75.54396999981549)"
2005,New York,0.15,0.06,0.26,0.54,"New York
(42.82699999955048, -75.54396999981549)"
2006,New York,0.13,0.05,0.25,0.57,"New York
(42.82699999955048, -75.54396999981549)"
2007,New York,0.13,0.06,0.26,0.56,"New York
(42.82699999955048, -75.54396999981549)"
2008,New York,0.12,0.05,0.25,0.58,"New York
(42.82699999955048, -75.54396999981549)"
2009,New York,0.12,0.06,0.26,0.56,"New York
(42.82699999955048, -75.54396999981549)"
2010,New York,0.11,0.05,0.27,0.58,"New York
(42.82699999955048, -75.54396999981549)"
1995,North Carolina,0.23,0.03,0.23,0.52,"North Carolina
(35.46624999963797, -79.1593199999179)"
1996,North Carolina,0.22,0.04,0.23,0.51,"North Carolina
(35.46624999963797, -79.1593199999179)"
1997,North Carolina,0.21,0.05,0.22,0.52,"North Carolina
(35.46624999963797, -79.1593199999179)"
1998,North Carolina,0.21,0.04,0.23,0.52,"North Carolina
(35.46624999963797, -79.1593199999179)"
1999,North Carolina,0.21,0.04,0.23,0.52,"North Carolina
(35.46624999963797, -79.1593199999179)"
2000,North Carolina,0.21,0.05,0.24,0.50,"North Carolina
(35.46624999963797, -79.1593199999179)"
2001,North Carolina,0.21,0.05,0.24,0.50,"North Carolina
(35.46624999963797, -79.1593199999179)"
2002,North Carolina,0.21,0.05,0.24,0.50,"North Carolina
(35.46624999963797, -79.1593199999179)"
2003,North Carolina,0.19,0.06,0.23,0.52,"North Carolina
(35.46624999963797, -79.1593199999179)"
2004,North Carolina,0.18,0.06,0.21,0.56,"North Carolina
(35.46624999963797, -79.1593199999179)"
2005,North Carolina,0.17,0.06,0.24,0.54,"North Carolina
(35.46624999963797, -79.1593199999179)"
2006,North Carolina,0.17,0.05,0.24,0.54,"North Carolina
(35.46624999963797, -79.1593199999179)"
2007,North Carolina,0.18,0.05,0.25,0.52,"North Carolina
(35.46624999963797, -79.1593199999179)"
2008,North Carolina,0.16,0.05,0.25,0.54,"North Carolina
(35.46624999963797, -79.1593199999179)"
2009,North Carolina,0.14,0.06,0.26,0.54,"North Carolina
(35.46624999963797, -79.1593199999179)"
2010,North Carolina,0.14,0.05,0.25,0.56,"North Carolina
(35.46624999963797, -79.1593199999179)"
1995,North Dakota,0.20,0.03,0.24,0.53,"North Dakota
(47.475320000018144, -100.11841999998285)"
1996,North Dakota,0.20,0.04,0.26,0.51,"North Dakota
(47.475320000018144, -100.11841999998285)"
1997,North Dakota,0.20,0.03,0.24,0.53,"North Dakota
(47.475320000018144, -100.11841999998285)"
1998,North Dakota,0.17,0.03,0.28,0.52,"North Dakota
(47.475320000018144, -100.11841999998285)"
1999,North Dakota,0.17,0.05,0.25,0.53,"North Dakota
(47.475320000018144, -100.11841999998285)"
2000,North Dakota,0.18,0.06,0.23,0.53,"North Dakota
(47.475320000018144, -100.11841999998285)"
2001,North Dakota,0.16,0.07,0.25,0.53,"North Dakota
(47.475320000018144, -100.11841999998285)"
2002,North Dakota,0.16,0.05,0.27,0.52,"North Dakota
(47.475320000018144, -100.11841999998285)"
2003,North Dakota,0.16,0.04,0.26,0.54,"North Dakota
(47.475320000018144, -100.11841999998285)"
